Industry name,Number of firms,  Dividends , Net Income ,Payout,Dividends + Buybacks,Cash Return as % of Net Income,Dividends + Buybacks - Stock Issuances,FCFE (before debt cash flows),FCFE (after debt cash flows),Net Cash Returned/FCFE (pre-debt),Net Cash Returned/FCFE (post-debt),Net Cash Returned/ Net Income,Cash/ Firm Value
Business & Consumer Services,155,8076.907899999999,18957.952,0.42604327197368147,22036.405,1.1623832046837126,20933.684999999998,20539.391000000003,32440.85400000003,1.0191969664533869,0.6452877288618845,1.1042165841542375,0.04024363311198222
Cable TV,9,5224.2,15611.2,0.3346443578968945,17685.43,1.1328680690786102,17226.73,19089.22,18549.020000000004,0.9024323675875703,0.9287137541498147,1.1034853182330633,0.028893507091752747
Chemical (Basic),29,4092.2999999999993,-4296.903,0.004131630042662541,4792.709999999999,,4633.428999999999,-8687.020999999999,-6018.4439999999995,,,-1.0783182678315053,0.08912014780552291
Chemical (Diversified),4,274.0,-653.598,,282.08,,280.91999999999996,-459.916,-285.78599999999983,,,-0.42980547676094477,0.09748112709643042
Chemical (Specialty),59,7870.1100000000015,6053.494999999999,1.3000935823024555,14612.83,2.413949297058972,13771.64,-2091.108999999993,2063.7669999999707,,6.673059507202216,2.274989902527383,0.039108107846628735
Coal & Related Energy,16,72.21,-183.88000000000002,0.0008172413793103449,337.23199999999997,,-802.3159999999998,-409.2320000000001,912.1399999999998,,-0.8795974302190454,4.363258646943657,0.14030603264913963
Computer Services,64,7760.469999999998,15218.98,0.5099205071561956,15395.196999999998,1.0115787654625998,13905.100999999999,16970.477,20749.961999999992,0.8193700742766393,0.6701265766173453,0.9136683930197687,0.048030253728172795
Computers/Peripherals,36,19202.07,119786.72600000002,0.1603021523436578,125382.12400000004,1.0467113359455205,122624.17300000004,108560.60100000002,113666.73400000001,1.1295458192977397,1.0788044019985656,1.023687491049718,0.01474015694541099
Construction Supplies,40,7224.299999999998,21569.83299999999,0.33492609794429107,15242.700999999997,0.7066675481446706,15140.474999999997,15418.071999999993,25571.166999999994,0.9819953493536678,0.5920916710606129,0.7019282439507066,0.029385735087736495
Diversified,20,4928.379999999999,74805.702,0.06588241094241719,12814.289999999999,0.1713009791686735,11131.202,63724.961,72371.372,0.17467569732996774,0.15380670135699512,0.14880151783081988,0.06424659262771254
Drugs (Biotechnology),496,20803.6,-10938.48400000001,0.0011705552086895756,35208.846,,9976.320999999996,1683.7799999999584,-3405.1170000000384,5.924955160413025,,-0.9120387249275117,0.04198898589831489
Drugs (Pharmaceutical),228,42241.200000000004,72040.94099999998,0.5863499201100111,59827.339,0.8304630418417219,53078.134999999995,72020.019,88883.49200000003,0.7369914051258442,0.5971652756397102,0.7367773694127623,0.031607075278297876
Education,32,339.3,2453.463,0.13829432112895118,1477.2799999999997,0.6021203498891158,375.135,2135.3999999999996,67.5669999999991,0.17567434672660862,5.552044637175026,0.15290020676896288,0.08255178105333023
Electrical Equipment,112,2905.707000000001,1265.0790000000004,2.296858140874997,8309.0,6.567969273065159,5211.244999999999,-226.36199999999928,7242.956000000006,,0.7194914617733416,4.119304011844317,0.03531033289858355
Electronics (Consumer & Office),8,0.0,-238.68199999999996,,109.78899999999999,,92.98199999999999,-141.88699999999994,-69.12499999999994,,,-0.38956435759713764,0.10516119216152936
Electronics (General),114,2212.1769999999997,11129.061000000003,0.19877481128012497,8449.374999999996,0.7592172421374987,6173.671999999997,8267.836000000005,11626.444000000003,0.7467095380217984,0.5310026006231996,0.5547343122658771,0.04276394737105285
Engineering/Construction,48,826.9089999999999,9927.423000000003,0.08329543326601473,3764.3540000000003,0.37918742860055416,2838.893,7733.593000000004,9398.768000000004,0.3670859068999362,0.3020494813788359,0.2859647463395082,0.03738629027811922
Entertainment,92,2622.463,11462.435999999992,0.22878758058060275,19102.065000000002,1.6664926198933643,15567.654000000002,19008.954,10704.534,0.8189642628416062,1.4543046899566112,1.3581453366457192,0.03364109650880357
Environmental & Waste Services,53,2582.174,6487.485999999998,0.39802382617858456,3994.3320000000003,0.6156979760727039,3767.137,5306.558999999998,11623.481999999989,0.7099020287911623,0.3240971165094938,0.5806774766065008,0.012488380313177587
Farming/Agriculture,35,3604.14,8696.789999999997,0.4144218728979314,6501.256,0.7475466235243121,6391.0470000000005,7799.345999999999,7498.406000000006,0.8194337063646108,0.8523207465693369,0.7348742467048189,0.03873786848086313
Financial Svcs. (Non-bank & Insurance),176,24037.584000000006,129763.973,0.1852408141048518,105217.34999999998,0.8108363790618524,97706.14599999998,133452.521,-12955.481999998447,0.7321416281075722,,0.7529527937619479,0.026932527562606865
Food Processing,78,11627.099999999999,8124.527000000001,1.4311110049852744,18534.779,2.281336378105457,18035.022999999997,4043.0620000000044,1954.724000000002,4.460733721125221,9.226378250842563,2.2198243663908057,0.025575346289782346
Food Wholesalers,13,1034.7,2717.55,0.3807473643539217,3257.566,1.1987142830858677,3043.395,1199.5930000000005,2796.659999999996,2.53702297362522,1.088224882538458,1.1199039576088756,0.010617965508753957
