Industry Name,Number of Firms,Beta,ROE,Cost of Equity,(ROE - COE),BV of Equity,Equity EVA (US $ millions),ROC,Cost of Capital,(ROC - WACC),BV of Capital,EVA (US $ millions),E/(D+E),Std Dev in Stock,Cost of Debt,Tax Rate,After-tax Cost of Debt,D/(D+E)
Broadcasting,24,0.47075204848634544,0.03985249661675879,0.06049554136249101,-0.02064304474573222,36910.61100000002,-761.9473944653162,0.14567294791803095,0.05088211935972416,0.0947908285583068,55872.64715669756,5296.214517729286,0.5380559136211459,0.46623069933478634,0.052913,0.07728859528725333,0.039684750000000005,0.4619440863788541
Brokerage & Investment Banking,32,1.171457071047836,0.17767908407709018,0.09174698536873349,0.08593209870835669,289585.06999999983,24884.652819706367,,0.06081766824925591,,1298412.5044053877,,0.4244957382387696,0.366085597210624,0.050671999999999995,0.15273177578181318,0.038003999999999996,0.5755042617612304
Building Materials,41,1.1115321733442423,0.15997617762076355,0.08907433493115322,0.07090184268961033,57970.70000000001,4110.229452006594,0.20164568716545334,0.07853655745549157,,65306.725551156196,,0.7936614770616368,0.35282100910190417,0.050671999999999995,0.1802113978781021,0.038003999999999996,0.20633852293836322
Business & Consumer Services,155,0.8879785335242745,0.18195761920089848,0.07910384259518263,0.10285377660571585,104188.83299999998,10716.214954192234,0.28297691435712685,0.0723350904186299,0.21064182393849695,105710.29976144445,22267.010350835917,0.8353095352889235,0.41106991639716206,0.050671999999999995,0.10382630217002471,0.038003999999999996,0.16469046471107657
Cable TV,9,0.7407444081777597,0.11059819032478371,0.07253720060472808,0.03806098972005563,141152.4,5372.40004536118,0.12062120565621212,0.05198848097183416,0.06863272468437796,297385.44427896664,20410.37332233974,0.40495756914925196,0.4404071378928042,0.050671999999999995,0.10643042905457614,0.038003999999999996,0.595042430850748
Chemical (Basic),29,1.0122471500989898,-0.08289888731246041,0.08464622289441495,-0.16754511020687535,51833.06000000001,-8684.375750059584,0.037245953068641535,0.06223833727993208,-0.024992384211290547,80892.32035308123,-2021.6919500070044,0.5016202946219239,0.4580970692608343,0.052913,0.07683856093152415,0.039684750000000005,0.49837970537807613
Chemical (Diversified),4,0.8507028562562596,-0.15302086015967034,0.07744134738902918,-0.2304622075486995,4271.3,-984.3732271027602,0.040542644509719825,0.05228720198169101,-0.011744557471971187,10342.827173414025,-121.47192816082632,0.3621745103897218,0.3903520023839609,0.050671999999999995,0.0,0.038003999999999996,0.6378254896102782
Chemical (Specialty),59,0.9697828817775749,0.034987853971055624,0.08275231652727985,-0.04776446255622423,173017.04200000004,-8264.066024197677,0.10949443918503624,0.07245679943533023,0.037037639749706,204516.65218912464,7574.81408659672,0.7699239236034014,0.42305160954750315,0.050671999999999995,0.13675158334443216,0.038003999999999996,0.2300760763965986
Coal & Related Energy,16,1.0709931914897641,-0.02513240711000554,0.08726629634044347,-0.11239870345044901,7316.45,-822.3594938600377,-0.04759627013362316,0.0840941403647961,-0.13169041049841926,6770.202958808708,-891.5708068031314,0.933332221846033,0.6431490912216578,0.052913,0.03125,0.039684750000000005,0.06666777815396692
Computer Services,64,1.0878559034733686,0.1825059226961266,0.08801837329491224,0.09448754940121434,83388.96499999997,7879.218949953631,0.26348563236851774,0.07832070198141003,0.1851649303871077,90905.77324229068,16832.561174194954,0.7993597282303678,0.5342530314325552,0.052913,0.10526994226576537,0.039684750000000005,0.20064027176963217
