Industry Name,Number of Firms,Beta,ROE,Cost of Equity,(ROE - COE),BV of Equity,Equity EVA (US $ millions),ROC,Cost of Capital,(ROC - WACC),BV of Capital,EVA (US $ millions),E/(D+E),Std Dev in Stock,Cost of Debt,Tax Rate,After-tax Cost of Debt,D/(D+E)
Steel,19,1.062846247426205,0.03679172566231069,0.08690294263520874,-0.050111216972898054,56642.60000000001,-2838.429618509076,0.06720259161412713,0.07759414206880617,-0.010391550454679044,60009.258533661916,-623.5892378004268,0.8096318639066042,0.38509854793902265,0.050671999999999995,0.09275991753479733,0.038003999999999996,0.1903681360933958
Telecom (Wireless),12,0.5381352736640138,0.16061396496184466,0.06350083320541502,0.09711313175642963,73001.56,7089.410114704903,0.10372019614469251,0.05478411670071081,0.0489360794439817,175093.4142895825,8568.385231793009,0.6581255234923467,0.40180999688678365,0.050671999999999995,0.04023108287054421,0.038003999999999996,0.3418744765076534
Telecom. Equipment,57,0.9232195753877382,0.2495656053027011,0.08067559306229313,0.16889001224040798,70876.78600000001,11970.381255100778,0.2547374909112715,0.07721433392584677,0.17752315698542476,88616.51171738349,15731.482921105802,0.9155601866693409,0.5526305461735282,0.052913,0.07062863646712804,0.039684750000000005,0.0844398133306591
Telecom. Services,39,0.6287201518745624,0.19817526096196145,0.06754091877360549,0.13063434218835596,207174.83,27064.14763503447,0.12036566743047672,0.05389249919761376,0.06647316823286295,483635.346844767,32148.77377417122,0.5100396006745912,0.6028775992480886,0.052913,0.034002984466728295,0.039684750000000005,0.4899603993254088
Tobacco,10,0.794314579701523,,0.07492643025468793,,-11378.689999999999,,0.6307780350577148,0.0693639802170545,0.5614140548406603,39120.127156691924,21962.589212920644,0.8132163744456251,0.659579872239021,0.060195,0.1476725198349122,0.04514625,0.18678362555437486
Transportation,19,0.8599219267913129,0.3658208748571981,0.07785251793489256,0.28796835692230555,68353.464,19683.634718027966,0.1300079849084052,0.06720784508008498,0.06280013982832022,164769.08461856755,10347.521553430368,0.7328715493961502,0.381329406156173,0.050671999999999995,0.08538457407963723,0.038003999999999996,0.2671284506038499
Transportation (Railroads),4,0.9751457485154854,0.29067477582274653,0.08299150038379065,0.20768327543895587,43670.8,9069.694785039555,0.14236959522310544,0.0726587934475234,0.06971080177558203,112060.63650626832,7811.836818334022,0.782524270651581,0.23898485836689182,0.047306,0.16983557424101936,0.0354795,0.21747572934841894
Trucking,26,1.0113489285521289,0.07602721205023472,0.08460616221342496,-0.008578950163190241,42010.79999999999,-360.4085595157525,0.0929945748076969,0.07521676753085833,0.017777807276838573,57828.4697901989,1028.0633910446375,0.7985201922699252,0.35290917410983413,0.050671999999999995,0.12598448805395965,0.038003999999999996,0.2014798077300748
Utility (General),14,0.2394349278899265,0.10415514586399638,0.05017879778389073,0.05397634808010565,164557.40000000002,8882.207501557179,0.05994651585116697,0.0435789877327735,0.016367528118393468,408203.67277256656,6681.285092136469,0.5510118817818566,0.14962031044448046,0.047306,0.12765942282237325,0.0354795,0.44898811821814344
Utility (Water),14,0.4126827948416138,0.17212372991864594,0.057905652649935975,0.11421807726870997,21486.58,2454.1558546803185,0.08955910414193033,0.04929215662737624,0.04026694751455409,42998.68785606317,1731.4259070947899,0.6159173551962636,0.2959850912260439,0.047306,0.11191995155470791,0.0354795,0.38408264480373644
