Industry Name,Number of Firms,Beta,Cost of Equity,E/(D+E),Std Dev in Stock,Cost of Debt,Tax Rate,After-tax Cost of Debt,D/(D+E),Cost of Capital,Cost of Capital (Local Currency)
Electronics (General),114,0.9714771307987942,0.08282788003362622,0.9008054116266668,0.5183878524748988,0.052913,0.08036356729856782,0.039684750000000005,0.09919458837333317,0.07854831500880348,0.07854831500880355
Engineering/Construction,48,1.2099722611351151,0.09346476284662614,0.8771046922061482,0.4592364631713382,0.052913,0.1363531807406391,0.039684750000000005,0.12289530779385183,0.08685545161468271,0.08685545161468267
Entertainment,92,0.8251696372652437,0.07630256582202988,0.8627095900322758,0.48706590208810535,0.052913,0.03304355681192803,0.039684750000000005,0.13729040996772424,0.07127529087570077,0.07127529087570084
Environmental & Waste Services,53,0.9454812982377585,0.08166846590140403,0.8234012876847037,0.5491271709973529,0.052913,0.04267831701608498,0.039684750000000005,0.17659871231529634,0.07425419573500486,0.07425419573500491
Farming/Agriculture,35,1.1291737409456368,0.08986114884617541,0.658551130283848,0.507938158066483,0.052913,0.06294399257877176,0.039684750000000005,0.34144886971615196,0.07272847417372198,0.07272847417372197
Financial Svcs. (Non-bank & Insurance),176,0.9697132427444908,0.0827492106264043,0.2687233190210403,0.42469192147740364,0.050671999999999995,0.12056567700542625,0.038003999999999996,0.7312766809789597,0.05002808150982288,0.05002808150982285
Food Processing,78,0.6074530378003583,0.06659240548589598,0.6957302995895424,0.4346763943257051,0.050671999999999995,0.10372593278493082,0.038003999999999996,0.30426970041045764,0.05789381991348973,0.05789381991348974
Food Wholesalers,13,0.866641638658665,0.07815221708417647,0.6804176753309266,0.3397822415435992,0.050671999999999995,0.09152840668006618,0.038003999999999996,0.31958232466907344,0.06532155653709673,0.06532155653709681
Furn/Home Furnishings,27,0.8231584740017082,0.07621286794047619,0.7025759088720676,0.5150986273981181,0.052913,0.11382525542555506,0.039684750000000005,0.29742409112793244,0.06534852566141613,0.06534852566141613
Green & Renewable Energy,15,0.8563295187054536,0.07769229653426324,0.4692421017976064,0.6514340075377375,0.060195,0.0,0.04514625,0.5307578982023936,0.06041822528094039,0.06041822528094043
Healthcare Products,204,0.9085611350704943,0.08002182662414405,0.8866414820456079,0.6179058995412937,0.052913,0.048453372827770576,0.039684750000000005,0.11335851795439211,0.07544927539941833,0.07544927539941826
Healthcare Support Services,104,0.8719538873399333,0.07838914337536103,0.7384143588163841,0.47240032307194035,0.052913,0.09799646168506736,0.039684750000000005,0.26158564118361594,0.06826462981764432,0.06826462981764436
Heathcare Information and Technology,115,1.1083338991481437,0.08893169190200721,0.8639954996494013,0.6378002122444473,0.052913,0.06381881317110165,0.039684750000000005,0.13600450035059874,0.08223388617482975,0.08223388617482974
Homebuilding,30,0.9106178132748846,0.08011355447205985,0.8241023530476334,0.32794046675316896,0.050671999999999995,0.16989203344780976,0.038003999999999996,0.17589764695236665,0.07270658292621202,0.0727065829262119
Hospitals/Healthcare Facilities,31,0.7996783314027625,0.07516565358056321,0.6253111548201213,0.5645694737555678,0.052913,0.11347796258733156,0.039684750000000005,0.37468884517987866,0.06187135479202336,0.061871354792023325
Hotel/Gaming,63,1.0803675683074194,0.0876843935465109,0.7155624680137498,0.3965335196981276,0.050671999999999995,0.08308178299623932,0.038003999999999996,0.2844375319862502,0.07355342501803572,0.07355342501803563
Household Products,110,0.8155158251324154,0.07587200580090572,0.846398707912791,0.5546378639806525,0.052913,0.06500436608160612,0.039684750000000005,0.15360129208720896,0.07031359655279625,0.07031359655279634
Information Services,15,0.9205673234850804,0.08055730262743459,0.7509207280183494,0.32375244548022786,0.050671999999999995,0.18162842926123732,0.038003999999999996,0.24907927198165059,0.06995815698857832,0.06995815698857832
Insurance (General),21,0.6719750422408106,0.06947008688394016,0.7960033399042334,0.46070163153831,0.052913,0.12768801589234566,0.039684750000000005,0.20399666009576656,0.06339397763978913,0.06339397763978916
Insurance (Life),20,0.6444930925180267,0.068244391926304,0.5958059629817617,0.3515193422631459,0.050671999999999995,0.15186017647763664,0.038003999999999996,0.4041940370182383,0.056021405832597446,0.056021405832597404
Insurance (Prop/Cas.),57,0.4841100151289049,0.06109130667474916,0.8708579711005129,0.28696879528535113,0.047306,0.1836669176395358,0.0354795,0.12914202889948712,0.057783745996990626,0.05778374599699054
Investments & Asset Management,283,0.6595817512663942,0.06891734610648118,0.7536466040613984,0.3004225728309703,0.050671999999999995,0.03534923619833761,0.038003999999999996,0.24635339593860162,0.06130173831332419,0.06130173831332408
Machinery,105,0.9636207903494385,0.08247748724958495,0.871898101669845,0.45034116660736356,0.052913,0.13373442732400442,0.039684750000000005,0.12810189833015495,0.07699565637316959,0.07699565637316952
Metals & Mining,73,1.0430314762308461,0.08601920383989574,0.9010265471692787,0.7756025957468325,0.060195,0.02516414295193868,0.04514625,0.09897345283072134,0.08197386647097057,0.0819738664709706
Office Equipment & Services,14,1.334375038621748,0.09901312672252996,0.6752081563051134,0.3960756696465002,0.050671999999999995,0.12297383351664745,0.038003999999999996,0.32479184369488656,0.07919785997210449,0.07919785997210438
Oil/Gas (Integrated),4,0.2993819796439979,0.05285243629212231,0.878387259305869,0.2026827904588578,0.047306,0.2824095529705382,0.0354795,0.12161274069413097,0.05073966589573278,0.050739665895732866
Oil/Gas (Production and Exploration),142,0.72140595546977,0.07167470561395174,0.7268095482627659,0.42219200974609405,0.050671999999999995,0.06664478996170788,0.038003999999999996,0.2731904517372341,0.06247619033696484,0.06247619033696483
Oil/Gas Distribution,23,0.6692224517144899,0.06934732134646625,0.6308068246010716,0.42240372453265573,0.050671999999999995,0.09166185880832112,0.038003999999999996,0.3691931753989284,0.057775581011015355,0.05777558101101543
Oilfield Svcs/Equip.,97,0.9512418716285248,0.08192538747463221,0.7280106713953535,0.4831643535406242,0.052913,0.08746367186047936,0.039684750000000005,0.27198932860464653,0.07043638484807473,0.07043638484807468
Packaging & Container,19,1.0219297750432532,0.0850780679669291,0.6447054559021737,0.25447909143998576,0.047306,0.1557025871337487,0.0354795,0.35529454409782635,0.06745596737321397,0.06745596737321402
Paper/Forest Products,6,0.9579784309693652,0.08222583802123369,0.6959514879510198,0.5694450238249283,0.052913,0.08598511133455124,0.039684750000000005,0.3040485120489802,0.0692912835074329,0.06929128350743285
Power,46,0.4824326713170223,0.061016497140739194,0.5742220789250334,0.25379988697855693,0.047306,0.12748334654668436,0.0354795,0.4257779210749666,0.050143407587657896,0.050143407587657896
Precious Metals,56,0.8365606512291942,0.07681060504482207,0.9321305988754509,0.6994720354601837,0.060195,0.05974812957530874,0.04514625,0.06786940112454909,0.0746615642309349,0.07466156423093495
Publishing & Newspapers,19,0.563007176601541,0.06461012007642873,0.8068428353627335,0.35925309700015134,0.050671999999999995,0.10205812286876828,0.038003999999999996,0.1931571646372665,0.059470957360467105,0.059470957360467036
R.E.I.T.,190,0.6417984635762964,0.06812421147550282,0.5421141559954485,0.2636928702689285,0.047306,0.01581382585274235,0.0354795,0.45788584400455146,0.05317666020925715,0.053176660209257154
Real Estate (Development),14,0.8435660615974878,0.07712304634724795,0.4954680163706453,0.5210233738934074,0.052913,0.04907001511578525,0.039684750000000005,0.5045319836293547,0.058234228427467324,0.05823422842746728
Real Estate (General/Diversified),12,0.8099864769457396,0.07562539687177999,0.6512104464755757,0.31209535325023385,0.050671999999999995,0.046482967477014005,0.038003999999999996,0.3487895535244243,0.06250344665390667,0.06250344665390672
Real Estate (Operations & Services),54,0.9654974066610451,0.08256118433708262,0.802295970340205,0.505596255690735,0.052913,0.08697440271481936,0.039684750000000005,0.19770402965979506,0.07408434049119778,0.07408434049119772
Recreation,49,1.0234727002249695,0.08514688243003364,0.6135325707982515,0.4830813033858449,0.052913,0.11454512843876968,0.039684750000000005,0.3864674292017485,0.0675772489837691,0.06757724898376916
Reinsurance,1,0.5813323223955235,0.06542742157884035,0.6970232943503138,0.1921142517209114,0.047306,0.3035856573705179,0.0354795,0.30297670564968615,0.05635389895782815,0.05635389895782805
Restaurant/Dining,64,0.9240873147803257,0.08071429423920252,0.786041072363527,0.411494619604859,0.050671999999999995,0.09916012680622868,0.038003999999999996,0.21395892763647295,0.07157604548474453,0.0715760454847445
Retail (Automotive),34,0.9360151956832995,0.08124627772747516,0.687968962765219,0.44582095697030294,0.050671999999999995,0.10773098945749512,0.038003999999999996,0.312031037234781,0.06775334495577662,0.06775334495577656
Retail (Building Supply),14,1.5353094340291733,0.10797480075770113,0.8111009341868876,0.45883505690255144,0.052913,0.11839851054454309,0.039684750000000005,0.18889906581311244,0.09507487396524136,0.09507487396524139
Retail (Distributors),62,0.9484338145727029,0.08180014812994255,0.7798099919515831,0.3929235163979659,0.050671999999999995,0.14586482228388625,0.038003999999999996,0.22019000804841693,0.07215667392072084,0.07215667392072089
Retail (General),23,0.8052405395912856,0.07541372806577135,0.9264089952191082,0.43342745933177196,0.050671999999999995,0.19099933477629175,0.038003999999999996,0.07359100478089176,0.0726607085888313,0.07266070858883134
Retail (Grocery and Food),15,1.1183037944931133,0.08937634923439286,0.658110474673126,0.4942294835852475,0.052913,0.12221523285745305,0.039684750000000005,0.341889525326874,0.07238731195941303,0.07238731195941295
